,amount_tsh,gps_height,installer,longitude,latitude,basin,region,lga,ward,population,public_meeting,permit,extraction_type,management,payment,water_quality,quantity,source,waterpoint_type,status_group
count,6807.0,6807.0,6237,6807.0,6807.0,6807,6807,6807,6807,6807.0,6506,6402,6807,6764,6026,6672,6754,6801,6807,6807
unique,,,648,,,9,21,124,1584,,2,2,17,11,6,6,4,9,7,2
top,,,DWE,,,Lake Victoria,Mbeya,Kigoma Rural,Mahembe,,True,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,others
freq,,,2167,,,1251,665,291,50,,5880,4432,3677,4689,3010,5990,3771,2065,3461,3460
mean,331.08652857352723,658.4972822094902,,33.3600543065624,-5.545167960809473,,,,,181.21477890406933,,,,,,,,,,
std,3859.522760584359,673.7470274252648,,7.4267698371170985,2.9616021543911053,,,,,435.6696943479072,,,,,,,,,,
min,0.0,-54.0,,0.0,-11.64944018,,,,,0.0,,,,,,,,,,
25%,0.0,0.0,,32.50875608,-8.41090076,,,,,0.0,,,,,,,,,,
50%,0.0,397.0,,34.63229545,-4.7840297,,,,,35.0,,,,,,,,,,
75%,30.0,1292.5,,36.962065685,-3.30184432,,,,,240.0,,,,,,,,,,
max,250000.0,2585.0,,40.32280453,-2e-08,,,,,15300.0,,,,,,,,,,
